2454,1177
2362,833
1767.5,969.75
2101.7,878.5
2418.3,944.33
1219,77.5
1392.3,407
1353.3,361.33
2164.7,925.33
2423,944.5
679,1233.5
2355,806.75
1542,1006
1405.7,288
2003,785
232.11,547.89
468,467
2354.9,911.14
1543,1034
2489,1279
1719.6,1008.1
1425,188
443,721
1825,1029
212,1259
1214,493.75
2106.5,530
2299.7,934
1316.5,115.5
2297.3,922
348.67,552
1211.5,120
294,532.25
2021.5,477.5
2397.8,1013.8
2460,863
2377,844.5
1205,150
2328.2,878.5
2331,519
1733.3,396.33
255.4,637.2
2382.3,945.08
2435.6,1079.6
166.33,613.67
2433,999
1152,244
2369.5,960.5
1794.5,968.75
1108,236
641.33,1252.7
2441.7,911
427,585
2138,877
2088,814.5
2154.5,872
62,1327
892.5,486
2126.6,907.4
1731.6,457.71
266.86,579.29
2379.8,962.8
2410,979.62
1231.9,391.75
2394,935
287.88,568.75
2406.1,968.6
1247.7,328.33
712,1218.5
1211.3,405.33
2353.7,953.33
184.2,627.8
2434,1148
2298.5,829.5
260.5,488.5
204.67,586.67
1286.6,428.2
2403,299.5
295,562.25
2384.2,979
2392.6,893.57
260.5,534.5
2348.1,936.57
2298,1019
1299.5,982.2
330,578
417,511
2068.7,450
1491,563
2090.7,909.33
774,1237.8
1544,1055
1309.1,344.57
1057,744
2380,798
1188.4,362.25
2384.2,361
2397,423.4
2451,1147
1314.1,411.53
2360,996
2375.9,1095
2239,261
635.33,494.67
1661.7,508.33
515,560
1296.3,400
2119.5,419.25
1284.9,402.3
1113,127
89,651
2483,1034
229,713
1191,266.43
1264.6,329.71
1261,266.67
91,476
2398,1001
2361,957
1151.8,380.4
2388.5,1018
2375,450.4
515,560
1767,1020.2
2376.7,1061.4
1700.6,389.29
1549,1125
288,505.86
2399.6,977
2400,1052
418.4,631.6
342,619
1326,865
2052,979
344,662
290,582
2321,785
2157.2,487.89
2395.2,1067.5
486,456
2350.8,301
2391,490
704,584
2381.5,878
2465.5,1163
1177.2,509.67
2448,983
1292.3,334.67
1756.9,435
1247,662
2106.5,516.5
2079.3,847.67
2416.5,219
1473,59
1243,374.91
2380,776
1251.7,403.33
209,570.6
183.33,1250
1544,1055
1491,563
344,1328
1326.7,507
233.1,556.2
2401.5,859
2170,414
2379.7,880.33
2092.7,508.67
2176,804.75
2372.2,486.5
2471.2,858.5
1586,381
2349.2,966.38
1281.4,410.6
2154.7,895.33
2119.3,511
2480,1045
2403,1073.6
2010,553
976,1181
1773,584.33
1286,488
704,584
2330.3,425.33
515,560
1373.2,408.8
1743,711
2416.5,1023
1308,930.33
2129,898.2
1595.7,926.33
770.5,532
2127.2,510.75
369,567.5
837,480
2321.3,898
1229,361.33
2053,297
2388,660
639,548
196.33,1132
2409.9,1018.2
2136.8,851.5
2346,1079
1352.8,1041.2
2152,511
2425.1,1001.1
2346.5,906.9
106,590
1381,23
2403,939.5
1854,567
2290,612.5
2112,781.5
2356,460.12
2407.8,1015.8
1794,847
269,598
1371,663
2377,560.25
2120.7,813.33
2343,897
639,548
2450,700
2369.5,545
1884,718.67
2369.5,545
1209.1,386.33
841.43,1193.4
880,1079
456,430
683,729
620,841
344,1328
1491,563
1796,364
1544,1055
1428,1020
2010,475
2449,402
2297,790
2192,875
2338,866
2042,872
2322,853
2408,597
1371,663
1129,117
2221,778
1057,744
2430,950
1305,781
1190,512
427,585
1381,23
632,1059
2483,1034
1299,163
1496,146
2010,553
2380,820
2182,929
2174,600
2321,785
443,721
1255,251
2454,1177
2242,838
1741,402
1549,1125
349,669
1794,847
1168,716
1113,127
104,663
269,598
264,572
